partnerID,priorityID
c0746d37-c2a1-4808-a9fe-e95db0905bde,d491fb20-371c-40b7-926b-c396d1480ace
c0746d37-c2a1-4808-a9fe-e95db0905bde,3833aa89-8f8e-40c4-aef3-a92fc3f33bc9
c0746d37-c2a1-4808-a9fe-e95db0905bde,cf22cd49-56db-449d-bea7-2fb8ebaf476c
c0746d37-c2a1-4808-a9fe-e95db0905bde,511d1a8c-2779-41a0-ae8c-60354d439044
1d243a68-6cfa-47fc-841b-67f274d74c41,11bc3713-3f3a-4653-8bd4-52ce47dde708
1d243a68-6cfa-47fc-841b-67f274d74c41,3be66fec-97c4-46d1-a0f8-9ec99830faec
1d243a68-6cfa-47fc-841b-67f274d74c41,482c4e83-c1c8-4c73-82b1-b7e41d61476d
1d243a68-6cfa-47fc-841b-67f274d74c41,6832ed79-8b12-4e36-9fa6-8caf8b542f9e
4e415dd7-4e8f-4b59-adab-734fbdbc6ae9,876eece2-7260-4b46-8c8e-9a8efe1a66c5
4e415dd7-4e8f-4b59-adab-734fbdbc6ae9,49df9d6a-d653-4aff-bc36-b92d9049c589
4e415dd7-4e8f-4b59-adab-734fbdbc6ae9,cbdb34fb-5081-48f6-8480-847ece3b7e7c
4e415dd7-4e8f-4b59-adab-734fbdbc6ae9,b48a6f67-4357-467b-adec-0dc653a067cc
c553866c-6dc2-47c3-b629-30253a31dbb2,e94d36f1-95b3-41c4-8ca6-976b19bfeed5
c553866c-6dc2-47c3-b629-30253a31dbb2,2f712d67-99fd-4876-867f-52f8c2144443
c553866c-6dc2-47c3-b629-30253a31dbb2,e3e213c3-a1e2-4b2a-95bf-f6f3e711091a
c553866c-6dc2-47c3-b629-30253a31dbb2,f92bcfeb-7920-4413-b4f7-660beec933c6
0cc1150d-015c-4a40-a407-bc6199841514,d4256ede-47d3-45f8-9ea2-72fd394fb8df
0cc1150d-015c-4a40-a407-bc6199841514,938d118a-6c77-432b-838a-aade13db7d93
0cc1150d-015c-4a40-a407-bc6199841514,559c48d2-1c72-439d-b717-012694016481
0cc1150d-015c-4a40-a407-bc6199841514,9328e3f5-bd04-4e52-be9b-4bd90416b95e
